contest_name,smd_anc_votes,explicit_candidates,ward_ballots,over_votes,under_votes,ward_anc_votes,anc,smd,year,ward,winner,winner_votes,write_in_votes,smd_ballots
5A06,823,2,38160,NA,NA,30531,A,6,2012,5,"ALBRETTE ""GIGI"" RANSOM",453,11,NA
5A07,466,1,38160,NA,NA,30531,A,7,2012,5,"SANDRA ""SANDI"" WASHINGTON",453,13,NA
5A08,932,1,38160,NA,NA,30531,A,8,2012,5,ANGEL SHERRI ALSTON,908,24,NA
5B01,1230,4,38160,NA,NA,30531,B,1,2012,5,SHIRLEY RIVENS SMITH,378,13,NA
5B02,953,1,38160,NA,NA,30531,B,2,2012,5,URSULA HIGGINS,910,43,NA
5B03,983,1,38160,NA,NA,30531,B,3,2012,5,TIFFANY BRIDGE,927,56,NA
5B04,957,3,38160,NA,NA,30531,B,4,2012,5,CAROLYN C. STEPTOE,515,9,NA
5B05,981,2,38160,NA,NA,30531,B,5,2012,5,JENESE L. JONES,540,21,NA
5C01,1034,2,38160,NA,NA,30531,C,1,2012,5,ANTONETTE E. RUSSELL,675,28,NA
5C02,845,2,38160,NA,NA,30531,C,2,2012,5,KARLA BUTLER,568,12,NA
5C03,1160,2,38160,NA,NA,30531,C,3,2012,5,BOB KING,713,6,NA
5C04,809,2,38160,NA,NA,30531,C,4,2012,5,JACQUELINE MANNING,418,23,NA
5C05,895,2,38160,NA,NA,30531,C,5,2012,5,REGINA JAMES,567,15,NA
5C06,705,2,38160,NA,NA,30531,C,6,2012,5,MARJORIE D. THOMAS-BARNES,434,15,NA
5C07,988,3,38160,NA,NA,30531,C,7,2012,5,NOLAN TREADWAY,431,15,NA
5D01,364,1,38160,NA,NA,30531,D,1,2012,5,PETA-GAY S. LEWIS,328,36,NA
5D02,736,1,38160,NA,NA,30531,D,2,2012,5,VONETTA DUMAS,685,51,NA
5D03,691,1,38160,NA,NA,30531,D,3,2012,5,INDIA A. HENDERSON,657,34,NA
5D04,477,1,38160,NA,NA,30531,D,4,2012,5,BERNICE S BLACKNELL,456,21,NA
5D05,721,3,38160,NA,NA,30531,D,5,2012,5,KATHY HENDERSON,393,4,NA
5D06,817,1,38160,NA,NA,30531,D,6,2012,5,TINA LASKARIS,778,39,NA
5D07,840,2,38160,NA,NA,30531,D,7,2012,5,DAVID HOOPER,530,12,NA
50,625,2,38160,NA,NA,30531,E,1,2012,5,DEBBIE SMITH-STEINER,378,28,NA
500,588,3,38160,NA,NA,30531,E,2,2012,5,CHRISTY 'LOVE' DAVIS,360,8,NA
5000,845,1,38160,NA,NA,30531,E,3,2012,5,TIM CLARK,813,32,NA
50000,990,2,38160,NA,NA,30531,E,4,2012,5,SYLVIA M. PINKNEY,678,17,NA
500000,889,2,38160,NA,NA,30531,E,5,2012,5,JOYCE ROBINSON-PAUL,459,25,NA
5000000,908,3,38160,NA,NA,30531,E,6,2012,5,"TERI JANINE ""TJ"" QUINN",431,8,NA
50000000,919,3,38160,NA,NA,30531,E,7,2012,5,WANDA B. FOSTER,380,24,NA
500000000,819,1,38160,NA,NA,30531,E,8,2012,5,MARK MUELLER,784,35,NA
5000000000,931,3,38160,NA,NA,30531,E,9,2012,5,C. DIANNE BARNES,365,16,NA
50000000000,946,2,38160,NA,NA,30531,E,10,2012,5,ANGELA C. BLANKS,481,12,NA
6A01,907,1,44593,NA,NA,33850,A,1,2012,6,J. OMAR MAHMUD,842,65,NA
6A02,943,2,44593,NA,NA,33850,A,2,2012,6,GLORIA NAUDEN,469,13,NA
6A03,978,1,44593,NA,NA,33850,A,3,2012,6,DAVID HOLMES,952,26,NA
6A04,996,1,44593,NA,NA,33850,A,4,2012,6,NICK ALBERTI,905,91,NA
6A05,970,1,44593,NA,NA,33850,A,5,2012,6,JAY WILLIAMS,915,55,NA
6A06,908,2,44593,NA,NA,33850,A,6,2012,6,ANDREW J HYSELL,552,51,NA
6A07,848,2,44593,NA,NA,33850,A,7,2012,6,SONDRA PHILLIPS-GILBERT,463,6,NA
6A08,952,2,44593,NA,NA,33850,A,8,2012,6,CALVIN WARD,483,119,NA
6B01,697,1,44593,NA,NA,33850,B,1,2012,6,DAVE GARRISON,656,41,NA
6B02,1011,2,44593,NA,NA,33850,B,2,2012,6,IVAN FRISHBERG,624,10,NA
6B03,1052,2,44593,NA,NA,33850,B,3,2012,6,PHILIP PEISCH,675,17,NA
6B04,823,1,44593,NA,NA,33850,B,4,2012,6,KIRSTEN OLDENBURG,730,93,NA
6B05,1132,2,44593,NA,NA,33850,B,5,2012,6,BRIAN PATE,643,8,NA
6B06,1148,3,44593,NA,NA,33850,B,6,2012,6,NICHOLE OPKINS,638,15,NA
6B07,759,1,44593,NA,NA,33850,B,7,2012,6,SARA LOVELAND,727,32,NA
6B08,878,1,44593,NA,NA,33850,B,8,2012,6,CHANDER JAYARAMAN,822,56,NA
6B09,1100,1,44593,NA,NA,33850,B,9,2012,6,BRIAN FLAHAVEN,1072,28,NA
6B10,966,1,44593,NA,NA,33850,B,10,2012,6,FRANCIS M. CAMPBELL,931,35,NA
6C01,698,1,44593,NA,NA,33850,C,1,2012,6,DANIELE MEGAN SCHIFFMAN,677,21,NA
6C02,494,1,44593,NA,NA,33850,C,2,2012,6,KAREN J. WIRT,459,35,NA
6C03,839,1,44593,NA,NA,33850,C,3,2012,6,JOHN SCOTT PRICE,806,33,NA
6C04,741,1,44593,NA,NA,33850,C,4,2012,6,MARK ECKENWILER,707,34,NA
6C05,800,1,44593,NA,NA,33850,C,5,2012,6,MARK KAZMIERCZAK,755,45,NA
6C06,1414,2,44593,NA,NA,33850,C,6,2012,6,TONY T GOODMAN,763,12,NA
6D01,970,1,44593,NA,NA,33850,D,1,2012,6,DONNA L HOPKINS,937,33,NA
6D02,1074,2,44593,NA,NA,33850,D,2,2012,6,ED KAMINSKI,573,43,NA
6D03,776,1,44593,NA,NA,33850,D,3,2012,6,RON MCBEE,729,47,NA
6D04,881,1,NA,NA,NA,NA,D,4,2012,6,ANDY LITSKY,846,35,NA
6D05,918,2,44593,NA,NA,33850,D,5,2012,6,ROGER MOFFATT,545,10,NA
6D06,839,1,44593,NA,NA,33850,D,6,2012,6,RHONDA N. HAMILTON,807,32,NA
6D07,854,1,44593,NA,NA,33850,D,7,2012,6,DAVID GARBER,808,46,NA
60,803,2,44593,NA,NA,33850,E,1,2012,6,"ALEXANDER M. ""ALEX"" PADRO",525,10,NA
600,951,4,44593,NA,NA,33850,E,2,2012,6,KEVIN L CHAPPLE,330,7,NA
6000,758,2,44593,NA,NA,33850,E,3,2012,6,FRANK S. WIGGINS,461,16,NA
60000,1134,2,44593,NA,NA,33850,E,4,2012,6,RACHELLE P. NIGRO,681,26,NA
600000,728,2,44593,NA,NA,33850,E,5,2012,6,MARGE MACEDA,370,10,NA
6000000,560,1,44593,NA,NA,33850,E,6,2012,6,MARK DIXON,546,14,NA
60000000,550,2,44593,NA,NA,33850,E,7,2012,6,ALFREDA S. JUDD,287,11,NA
7B01,801,1,36248,NA,NA,25417,B,1,2012,7,PATRICIA HOWARD-CHITTAMS,780,21,NA
7B02,898,1,36248,NA,NA,25417,B,2,2012,7,ZINA D. WILLIAMS,882,16,NA
7B03,109,0,36248,NA,NA,25417,B,3,2012,7,WRITE-IN,109,109,NA
7B04,1204,1,36248,NA,NA,25417,B,4,2012,7,PHILLIP J. HAMMOND,1172,32,NA
7B05,837,1,36248,NA,NA,25417,B,5,2012,7,ROBIN HAMMOND MARLIN,820,17,NA
7B06,1058,1,36248,NA,NA,25417,B,6,2012,7,ROBERT A. JORDAN,1027,31,NA
7B07,1080,1,36248,NA,NA,25417,B,7,2012,7,ROBERT T. (BOB) RICHARDS,1055,25,NA
7C01,639,1,36248,NA,NA,25417,C,1,2012,7,PATRICIA A. MALLOY,628,11,NA
7C02,733,1,36248,NA,NA,25417,C,2,2012,7,GREGORI STEWART,722,11,NA
7C03,816,1,36248,NA,NA,25417,C,3,2012,7,CATHERINE A. WOODS,800,16,NA
