contest_name,year,ward,anc,smd,smd_ballots,smd_anc_votes,explicit_candidates,winner,winner_votes,write_in_votes,over_votes,under_votes,commissioner_name,match,vacant,switcharoo,substantive_write_in,absent,empty
6B04,2018,6,B,4,824,718,1,Kirsten Oldenburg,682,36,0,106,Kirsten Oldenburg,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
6B05,2018,6,B,5,1026,872,2,Steve Holtzman,655,17,0,154,Steve Holtzman,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
6B06,2018,6,B,6,1105,921,1,Corey Holman,891,30,0,184,Corey Holman,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
6B07,2018,6,B,7,787,664,1,Kelly Waud,639,25,0,123,Kelly Waud,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
6B08,2018,6,B,8,1027,833,1,Chander Jayaraman,790,43,1,193,Chander Jayaraman,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
6B09,2018,6,B,9,1217,1054,1,Kasie Clark,1006,48,0,163,Kasie Clark,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
6B10,2018,6,B,10,1045,899,1,Kathryn Denise Rucker Krepp,857,42,0,146,Kathryn Denise Rucker Krepp,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
6C01,2018,6,C,1,828,704,1,Christine Healey,679,25,0,124,Christine Healey,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
6C02,2018,6,C,2,451,364,1,Karen Wirt,344,20,0,87,Karen Wirt,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
6C03,2018,6,C,3,1115,890,1,Jay Adelstein,847,43,0,225,Jay Adelstein,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
6C04,2018,6,C,4,1174,960,1,Mark Eckenwiler,895,65,0,214,Mark Eckenwiler,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
6C05,2018,6,C,5,1466,1153,2,Joel Kelty,574,43,0,313,Joel Kelty,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
6C06,2018,6,C,6,2384,1961,1,Robb Dooling,1868,93,0,423,Robb Dooling,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
6D01,2018,6,D,1,1352,1152,1,Gail Fast,1080,72,1,199,Gail Fast,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
6D02,2018,6,D,2,1565,1369,2,Anna Forgie,1046,46,0,196,Anna Forgie,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
6D03,2018,6,D,3,781,639,1,Ron Collins,594,45,0,142,Ronald R. Collins,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
