precinct,ward,anc,year,registered_voters,ballots
1,6,C,2018,6736,2813
1,6,E,2018,6736,2813
2,2,A,2018,1681,391
3,2,A,2018,2841,1172
4,2,A,2018,3420,1515
4,2,B,2018,3420,1515
5,2,E,2018,3616,1788
6,2,E,2018,4597,1696
7,3,D,2018,2342,1056
8,3,D,2018,3972,2157
9,3,D,2018,2277,1056
10,3,D,2018,3096,1563
11,3,B,2018,5812,2721
11,3,C,2018,5812,2721
12,3,B,2018,907,475
12,3,C,2018,907,475
13,2,D,2018,2030,1053
14,2,B,2018,4516,2212
14,2,D,2018,4516,2212
15,2,B,2018,4572,2380
16,2,B,2018,5049,2599
16,2,F,2018,5049,2599
17,2,B,2018,7284,3377
17,2,C,2018,7284,3377
17,2,F,2018,7284,3377
18,6,E,2018,6638,3079
19,5,E,2018,5926,2511
20,1,B,2018,1976,804
21,6,E,2018,1554,742
22,1,B,2018,5557,2751
23,1,B,2018,4192,2002
24,1,C,2018,3957,2087
25,1,C,2018,5657,3224
26,3,C,2018,4354,2563
27,3,C,2018,3390,2064
27,3,F,2018,3390,2064
28,3,B,2018,3934,2122
28,3,C,2018,3934,2122
29,3,C,2018,2042,1092
29,3,D,2018,2042,1092
29,3,F,2018,2042,1092
30,3,D,2018,1859,1133
30,3,E,2018,1859,1133
31,3,E,2018,3444,2030
32,3,E,2018,3794,2223
32,3,G,2018,3794,2223
33,3,E,2018,3974,2380
33,3,F,2018,3974,2380
34,3,C,2018,5665,3359
34,3,F,2018,5665,3359
35,1,C,2018,5001,2704
36,1,A,2018,5815,2581
36,1,B,2018,5815,2581
37,1,A,2018,4872,1938
37,1,B,2018,4872,1938
38,1,A,2018,4009,1807
39,1,A,2018,5535,2697
39,1,D,2018,5535,2697
40,1,D,2018,5305,2715
41,1,A,2018,5185,2176
42,1,A,2018,2502,1189
43,1,A,2018,2384,1163
44,5,A,2018,3901,1527
44,5,E,2018,3901,1527
45,4,C,2018,2907,1591
46,4,C,2018,3590,1766
46,4,D,2018,3590,1766
47,4,A,2018,4518,2229
47,4,C,2018,4518,2229
48,4,A,2018,3615,1874
48,4,C,2018,3615,1874
49,4,C,2018,1230,579
50,3,G,2018,3083,1822
51,4,G,2018,4612,2748
52,4,G,2018,1671,1008
53,4,A,2018,1619,801
53,4,C,2018,1619,801
54,4,C,2018,3018,1484
55,4,C,2018,3084,1413
55,4,D,2018,3084,1413
56,4,D,2018,4037,1891
57,4,B,2018,3156,1488
57,4,D,2018,3156,1488
58,4,B,2018,2801,1313
58,4,D,2018,2801,1313
59,4,B,2018,3178,1527
60,4,A,2018,2938,1089
61,4,A,2018,2019,975
62,4,A,2018,3764,2320
63,4,B,2018,4777,2515
64,4,B,2018,2880,1483
65,4,B,2018,3321,1710
66,5,A,2018,5537,2949
67,5,A,2018,3513,1874
67,5,B,2018,3513,1874
68,5,A,2018,2600,1323
68,5,B,2018,2600,1323
69,5,B,2018,2567,1337
69,5,C,2018,2567,1337
70,5,B,2018,1844,996
70,5,C,2018,1844,996
71,5,C,2018,2976,1417
72,5,C,2018,5473,2084
73,5,B,2018,2525,1336
74,5,B,2018,6396,2625
74,5,E,2018,6396,2625
75,5,E,2018,5328,2506
76,5,C,2018,2288,754
76,5,D,2018,2288,754
77,5,D,2018,3754,1722
78,5,C,2018,3748,1394
78,5,D,2018,3748,1394
79,5,D,2018,2704,918
80,7,D,2018,1917,914
80,7,F,2018,1917,914
81,6,A,2018,6229,2948
82,6,A,2018,3573,1766
83,6,A,2018,8471,4454
83,6,C,2018,8471,4454
84,6,C,2018,3032,1663
85,6,A,2018,4047,2355
85,6,C,2018,4047,2355
86,6,A,2018,3003,1677
87,6,B,2018,3722,1867
88,6,B,2018,3008,1651
89,6,B,2018,4150,2260
89,6,C,2018,4150,2260
90,6,B,2018,2405,1290
91,6,B,2018,5727,2856
92,7,D,2018,1909,683
93,7,C,2018,1969,797
93,7,D,2018,1969,797
94,7,C,2018,2431,887
94,7,D,2018,2431,887
95,7,C,2018,2076,756
96,7,C,2018,2899,1089
97,7,C,2018,1727,566
98,7,C,2018,2332,947
98,7,D,2018,2332,947
99,7,D,2018,1965,709
99,7,F,2018,1965,709
100,7,D,2018,2935,1072
101,7,D,2018,1891,915
102,7,D,2018,2859,1118
102,7,F,2018,2859,1118
103,7,E,2018,4232,1641
103,7,F,2018,4232,1641
104,7,E,2018,3896,1414
105,7,E,2018,2962,1083
106,7,E,2018,3407,1356
107,7,F,2018,2187,630
108,7,B,2018,1269,695
109,7,B,2018,1143,653
110,7,B,2018,4453,2105
110,7,E,2018,4453,2105
