contest_name,year,ward,anc,smd,smd_ballots,smd_anc_votes,explicit_candidates,winner,winner_votes,write_in_votes,over_votes,under_votes
6A07,2012,6,A,07,NA,848,2,SONDRA PHILLIPS-GILBERT,463,6,NA,NA
6A08,2012,6,A,08,NA,952,2,CALVIN WARD,483,119,NA,NA
6B01,2012,6,B,01,NA,697,1,DAVE GARRISON,656,41,NA,NA
6B02,2012,6,B,02,NA,1011,2,IVAN FRISHBERG,624,10,NA,NA
6B03,2012,6,B,03,NA,1052,2,PHILIP PEISCH,675,17,NA,NA
6B04,2012,6,B,04,NA,823,1,KIRSTEN OLDENBURG,730,93,NA,NA
6B05,2012,6,B,05,NA,1132,2,BRIAN PATE,643,8,NA,NA
6B06,2012,6,B,06,NA,1148,3,NICHOLE OPKINS,638,15,NA,NA
6B07,2012,6,B,07,NA,759,1,SARA LOVELAND,727,32,NA,NA
6B08,2012,6,B,08,NA,878,1,CHANDER JAYARAMAN,822,56,NA,NA
6B09,2012,6,B,09,NA,1100,1,BRIAN FLAHAVEN,1072,28,NA,NA
6B10,2012,6,B,10,NA,966,1,FRANCIS M. CAMPBELL,931,35,NA,NA
6C01,2012,6,C,01,NA,698,1,DANIELE MEGAN SCHIFFMAN,677,21,NA,NA
6C02,2012,6,C,02,NA,494,1,KAREN J. WIRT,459,35,NA,NA
6C03,2012,6,C,03,NA,839,1,JOHN SCOTT PRICE,806,33,NA,NA
6C04,2012,6,C,04,NA,741,1,MARK ECKENWILER,707,34,NA,NA
6C05,2012,6,C,05,NA,800,1,MARK KAZMIERCZAK,755,45,NA,NA
6C06,2012,6,C,06,NA,1414,2,TONY T GOODMAN,763,12,NA,NA
6D01,2012,6,D,01,NA,970,1,DONNA L HOPKINS,937,33,NA,NA
6D02,2012,6,D,02,NA,1074,2,ED KAMINSKI,573,43,NA,NA
6D03,2012,6,D,03,NA,776,1,RON MCBEE,729,47,NA,NA
6D04,2012,6,D,04,NA,881,1,ANDY LITSKY,846,35,NA,NA
6D05,2012,6,D,05,NA,918,2,ROGER MOFFATT,545,10,NA,NA
6D06,2012,6,D,06,NA,839,1,RHONDA N. HAMILTON,807,32,NA,NA
6D07,2012,6,D,07,NA,854,1,DAVID GARBER,808,46,NA,NA
6E01,2012,6,E,01,NA,803,2,ALEXANDER M. "ALEX" PADRO,525,10,NA,NA
6E02,2012,6,E,02,NA,951,4,KEVIN L CHAPPLE,330,7,NA,NA
6E03,2012,6,E,03,NA,758,2,FRANK S. WIGGINS,461,16,NA,NA
6E04,2012,6,E,04,NA,1134,2,RACHELLE P. NIGRO,681,26,NA,NA
6E05,2012,6,E,05,NA,728,2,MARGE MACEDA,370,10,NA,NA
6E06,2012,6,E,06,NA,560,1,MARK DIXON,546,14,NA,NA
6E07,2012,6,E,07,NA,550,2,ALFREDA S. JUDD,287,11,NA,NA
7B01,2012,7,B,01,NA,801,1,PATRICIA HOWARD-CHITTAMS,780,21,NA,NA
7B02,2012,7,B,02,NA,898,1,ZINA D. WILLIAMS,882,16,NA,NA
7B03,2012,7,B,03,NA,109,0,WRITE-IN,109,109,NA,NA
7B04,2012,7,B,04,NA,1204,1,PHILLIP J. HAMMOND,1172,32,NA,NA
7B05,2012,7,B,05,NA,837,1,ROBIN HAMMOND MARLIN,820,17,NA,NA
7B06,2012,7,B,06,NA,1058,1,ROBERT A. JORDAN,1027,31,NA,NA
7B07,2012,7,B,07,NA,1080,1,ROBERT T. (BOB) RICHARDS,1055,25,NA,NA
7C01,2012,7,C,01,NA,639,1,PATRICIA A. MALLOY,628,11,NA,NA
